var_name,renaming_variables,renaming_variables_nice,var_type,modalities,dependent_var_id
\DCC Harmonized data set\01 - Demographics\Harmonized race category of participant.\,race,Race,multicategorical,"[White or Caucasian, Black or African American, Other race, Asian, Native Hawaiian or other Pacific Islander, American Indian, Alaskan Native, or Native American, More than one race]",D0
\DCC Harmonized data set\01 - Demographics\Indicator of Hispanic or Latino ethnicity.\,latino_ethnicity,Ethnicity (latino),multicategorical,"[not Hispanic or Latino, Hispanic or Latino, ethnicity component dbGaP variable values for a subject were inconsistent/contradictory (e.g. over multiple visits)]",D1
\DCC Harmonized data set\01 - Demographics\Recruitment/field center  baseline clinic  or geographic region.\,geographic_center,Geographic Region,multicategorical,"[recruitment from West region of the USA for WHI (Womens Health Initiative), recruitment from South region of the USA for WHI (Womens Health Initiative), recruitment from Northeast region of the USA for WHI (Womens Health Initiative), recruitment from Midwest region of the USA for WHI (Womens Health Initiative), field center D representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), field center A representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), field center B representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), field center C representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), recruitment center Miami, FL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), recruitment center Bronx, NY, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), recruitment center Chicago, IL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), recruitment from urban and rural areas of Hinds county, MS, USA for JHS (Jackson Heart Study), recruitment center San Diego, CA, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), recruitment from Jackson, MS, US, field center/baseline clinic at University of California, Los Angeles, CA, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), recruitment from Rochester, MN, US, clinic at Davis University (Sacramento County, CA, USA) for CHS (Cardiovascular Health Study), clinic at Bowman Gray University (Forsyth County, NC, USA) for CHS (Cardiovascular Health Study), field center/baseline clinic at Northwestern University, IL, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), clinical center C09 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), field center/baseline clinic at Columbia University, NY, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), field center/baseline clinic at Johns Hopkins University, MD, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), clinic at University of Pittsburgh (Pittsburgh, PA, USA) for CHS (Cardiovascular Health Study), clinic at Johns Hopkins University (Washington County, MD, USA) for CHS (Cardiovascular Health Study), field center/baseline clinic at University of Minnesota, MN, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), field center/baseline clinic at Wake Forest University, NC, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), clinical center C08 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C05 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), recruitment census region of Northwest Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), field center 2 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), field center 1 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), recruitment census region including rest of Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), field center 4 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), field center 3 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), recruitment census region of Savaii in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), clinical center C03 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), recruitment census region of Apia Urban Area in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), clinical center C16 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C07 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C13 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C06 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C15 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C21 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C02 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C04 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C11 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), recruitment from urban and rural areas of Madison county, MS, USA for JHS (Jackson Heart Study), clinical center C10 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C01 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C14 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), recruitment from urban and rural areas of Rankin county, MS, USA for JHS (Jackson Heart Study), clinical center C17 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), recruitment from unknown county in MS, USA for JHS (Jackson Heart Study), clinical center C18 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C12 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C20 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), clinical center C19 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD)]",D2
\DCC Harmonized data set\01 - Demographics\Subject sex  as recorded by the study.\,sex,Sex,binary,"[Female, Male]",D3
\DCC Harmonized data set\01 - Demographics\classification of Hispanic/Latino background for Hispanic/Latino subjects where country or region of origin information is available\,latino_background,Latino background,multicategorical,"[Mexican, Puerto Rican, Cuban, Dominican, from Costa Rica, Central American, South American]",D4
\DCC Harmonized data set\02 - Atherosclerosis\Common carotid intima-media thickness  calculated as the mean of four values: maximum of multiple thickness estimates from the left far wall  left near wall  right far wall  and right near wall.\,carotida_thickness_4values,Carotida thickness (4 values),continuous,nan,D5
\DCC Harmonized data set\02 - Atherosclerosis\Common carotid intima-media thickness  calculated as the mean of two values: mean of multiple thickness estimates from the left far wall and from the right far wall.\,carotida_thickness_2values,Carotida thickness (2 values),continuous,nan,D6
\DCC Harmonized data set\02 - Atherosclerosis\Coronary artery calcification (CAC) score using Agatston scoring of CT scan(s) of coronary arteries\,coronary_calcification,Coronary calcification,continuous,nan,D7
\DCC Harmonized data set\02 - Atherosclerosis\Coronary artery calcium volume using CT scan(s) of coronary arteries\,coronary_calcium_volume,Coronary calcium volume,continuous,nan,D8
\DCC Harmonized data set\02 - Atherosclerosis\Extent of narrowing of the carotid artery.\,extent_narrowing_carotid,Extent of coronary artery narrowing,multicategorical,"[None, 1%-24%, 25%-49%, 50%-74%, 75%-99%, 100%]",D9
\DCC Harmonized data set\02 - Atherosclerosis\Presence or absence of carotid plaque.\,carotid_plaque,Carotid plaque presence,binary,"[Plaque not present, Plaque present]",D10
\DCC Harmonized data set\03 - Baseline common covariates\Body height at baseline.\,height,Height,continuous,nan,D11
\DCC Harmonized data set\03 - Baseline common covariates\Body mass index calculated at baseline.\,bmi,BMI,continuous,nan,D12
\DCC Harmonized data set\03 - Baseline common covariates\Body weight at baseline.\,weight,Weight,continuous,nan,D13
\DCC Harmonized data set\03 - Baseline common covariates\Indicates whether subject currently smokes cigarettes.\,current_smoker,Current smoker,binary,"[Does not currently smoke cigarettes, Currently smokes cigarettes]",D14
\DCC Harmonized data set\03 - Baseline common covariates\Indicates whether subject ever regularly smoked cigarettes.\,ever_smoker,Ever smoker,binary,"[Current or former cigarette smoker, Never a cigarette smoker]",D15
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of basophils in the blood (bld).\,basophils,Basophilis concentration,continuous,nan,D16
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of eosinophils in the blood (bld).\,eosinophils,Eosinophilis concentration,continuous,nan,D17
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of lymphocytes in the blood (bld).\,lymphocytes,Lymphocytes concentration,continuous,nan,D18
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of monocytes in the blood (bld).\,monocytes,Monocytes concentration,continuous,nan,D19
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of neutrophils in the blood (bld).\,neutrophils,Neutrophilis concentration,continuous,nan,D20
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of platelets in the blood (bld).\,platelets,Platelets concentration,continuous,nan,D21
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of red blood cells in the blood (bld).\,erythrocytes,Erythrocytes concentration,continuous,nan,D22
\DCC Harmonized data set\04 - Blood cell count\Count by volume  or number concentration (ncnc)  of white blood cells in the blood (bld).\,leucocytes,Leucocytes concentration,continuous,nan,D23
\DCC Harmonized data set\04 - Blood cell count\Measurement of hematocrit  the fraction of volume (vfr) of blood (bld) that is composed of red blood cells.\,hematocrit,Hematocrit,continuous,nan,D24
\DCC Harmonized data set\04 - Blood cell count\Measurement of mass per volume  or mass concentration (mcnc)  of hemoglobin in the blood (bld).\,hemoglobin,Hemoglobin,continuous,nan,D25
\DCC Harmonized data set\04 - Blood cell count\Measurement of the average mass (entmass) of hemoglobin per red blood cell(rbc)  known as mean corpuscular hemoglobin (MCH).\,mean_corpuscular_hemoglobin,Mean corpuscular hemoglobin,continuous,nan,D26
\DCC Harmonized data set\04 - Blood cell count\Measurement of the average volume (entvol) of red blood cells (rbc)  known as mean corpuscular volume (MCV).\,mean_corpuscular_volume,Mean corpuscular volume,continuous,nan,D27
\DCC Harmonized data set\04 - Blood cell count\Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc)  known as mean corpuscular hemoglobin concentration (MCHC).\,mean_corpuscular_hemoglobin_concentration,Mean corpuscular haemoglobin concentration,continuous,nan,D28
\DCC Harmonized data set\04 - Blood cell count\Measurement of the mean volume (entvol) of platelets in the blood (bld)  known as mean platelet volume (MPV or PMV).\,platelets_volume,Platelets volume,continuous,nan,D29
\DCC Harmonized data set\04 - Blood cell count\Measurement of the ratio of variation in width to the mean width of the red blood cell (rbc) volume distribution curve taken at +/- 1 CV  known as red cell distribution width (RDW).\,red_cell_width_distribution,Red cell width distribution,continuous,nan,D30
